"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2020-01-31,"United States",,0,1602,0.0005,0.0017,0.0229,104715144
2020-01-31,"New York, NY","NY",1,2297,-0.0009,-0.0002,0.0171,5313161
2020-01-31,"Los Angeles-Long Beach-Anaheim, CA","CA",2,2625,-0.0024,0.0061,0.0177,3238517
2020-01-31,"Chicago, IL","IL",3,1590,-0.0058,-0.0071,0.0123,2950429
2020-01-31,"Dallas-Fort Worth, TX","TX",4,1465,-0.0009,0.0078,0.0229,2368100
2020-01-31,"Philadelphia, PA","PA",5,1518,0.0048,0.0021,0.0326,2113172
2020-01-31,"Houston, TX","TX",6,1402,0.0008,0.0129,0.0087,2114534
2020-01-31,"Washington, DC","DC",7,1979,-0.0011,-0.0065,0.0231,2090783
2020-01-31,"Miami-Fort Lauderdale, FL","FL",8,1853,-0.0086,-0.0044,0.0079,2741378
2020-01-31,"Atlanta, GA","GA",9,1482,0.0008,0.008,0.0478,2227086
2020-01-31,"Boston, MA","MA",10,2350,0.0028,-0.0169,0.0289,1678829
2020-01-31,"San Francisco, CA","CA",11,3121,-0.0035,-0.0093,0.0052,1619280
2020-01-31,"Detroit, MI","MI",12,1208,-0.0009,-0.0146,0.0159,1630660
2020-01-31,"Riverside, CA","CA",13,1942,0.0077,0.0107,0.0319,1352978
2020-01-31,"Phoenix, AZ","AZ",14,1457,-0.0024,0.0175,0.0793,1681760
2020-01-31,"Seattle, WA","WA",15,2026,0,-0.0057,0.0243,1319120
2020-01-31,"Minneapolis-St Paul, MN","MN",16,1531,0.0051,0.0116,0.0342,1125990
2020-01-31,"San Diego, CA","CA",17,2559,0.0053,0.0049,0.0421,912320
2020-01-31,"St. Louis, MO","MO",18,1042,0.0026,0.0151,0.0507,1025399
2020-01-31,"Tampa, FL","FL",19,1450,0.0099,0.02,0.0518,1231722
2020-01-31,"Baltimore, MD","MD",20,1613,0.0002,0.0017,0.0088,972619
2020-01-31,"Denver, CO","CO",21,1800,0.0023,0.0048,0.0277,1027139
2020-01-31,"Pittsburgh, PA","PA",22,1175,0.0187,0.0537,0.0699,753336
2020-01-31,"Portland, OR","OR",23,1689,-0.0024,0.0008,0.0265,776297
2020-01-31,"Charlotte, NC","NC",24,1362,-0.0042,0.0123,0.0538,846217
2020-01-31,"Sacramento, CA","CA",25,1827,0.003,0.0051,0.0449,721385
2020-01-31,"San Antonio, TX","TX",26,1229,0.003,0.0051,0.0131,766453
2020-01-31,"Orlando, FL","FL",27,1456,0.0029,0.0118,0.0446,910408
2020-01-31,"Cincinnati, OH","OH",28,1206,0.0105,0.0251,0.0569,701832
2020-01-31,"Cleveland, OH","OH",29,1066,-0.0078,-0.0075,0.0182,787700
2020-01-31,"Kansas City, MO","MO",30,1138,0.0002,0.0073,0.0331,780724
2020-01-31,"Las Vegas, NV","NV",31,1357,0.0001,0.0012,0.0569,835437
2020-01-31,"Columbus, OH","OH",32,1188,0.0022,0.001,-0.0018,680086
2020-01-31,"Indianapolis, IN","IN",33,1103,-0.0059,-0.0077,0.0279,723064
2020-01-31,"San Jose, CA","CA",34,3296,-0.0035,-0.0063,0.0031,519478
2020-01-31,"Austin, TX","TX",35,1632,0.0022,0.0155,0.048,731379
2020-01-31,"Virginia Beach, VA","VA",36,1365,0.0021,0.0076,0.0252,641564
2020-01-31,"Nashville, TN","TN",37,1470,0.0015,0.0089,0.0308,738495
2020-01-31,"Providence, RI","RI",38,1460,0.0001,0.0073,0.0319,557911
2020-01-31,"Milwaukee, WI","WI",39,1106,0.0058,0.0018,0.0278,236525
2020-01-31,"Jacksonville, FL","FL",40,1371,-0.0003,0.0064,0.0424,597813
2020-01-31,"Memphis, TN","TN",41,1068,0.0033,0.0037,0.0393,455187
2020-01-31,"Oklahoma City, OK","OK",42,952,0.0028,0.0068,0.0221,489922
2020-01-31,"Louisville-Jefferson County, KY","KY",43,1097,-0.0029,-0.0029,0.0408,428067
2020-01-31,"Hartford, CT","CT",44,1329,-0.0018,-0.0088,-0.0017,640793
2020-01-31,"Richmond, VA","VA",45,1349,0.0025,0.0085,0.0344,489287
2020-01-31,"New Orleans, LA","LA",46,1367,0.0152,0.0666,0.0553,272404
2020-01-31,"Buffalo, NY","NY",47,1000,-0.0004,-0.0145,-0.0089,408453
2020-01-31,"Raleigh, NC","NC",48,1313,0.0089,0.0085,0.0341,481034
2020-01-31,"Birmingham, AL","AL",49,1078,0.0198,0.0121,0.0318,402087
2020-01-31,"Salt Lake City, UT","UT",50,1486,-0.0053,-0.0152,0.0141,411239
2020-01-31,"Rochester, NY","NY",51,1197,0.0122,-0.0215,-0.0195,372454
2020-01-31,"Grand Rapids, MI","MI",52,1363,0.0001,0.0199,0.0582,283237
2020-01-31,"Tucson, AZ","AZ",53,1286,0.0069,0.0197,0.0646,329962
2020-01-31,"Urban Honolulu, HI","HI",54,2321,-0.0014,-0.0064,-0.0068,313977
2020-01-31,"Tulsa, OK","OK",55,932,-0.0007,0.0029,0.0285,345487
2020-01-31,"Fresno, CA","CA",56,1339,0.003,0.0097,0.0585,243633
2020-01-31,"Worcester, MA","MA",57,1414,-0.0007,-0.0003,0.0149,340529
2020-01-31,"Stamford, CT","CT",58,2031,-0.0056,-0.0044,0.0238,471162
2020-01-31,"Albuquerque, NM","NM",59,1158,0.0007,-0.0045,0.0253,294725
2020-01-31,"Albany, NY","NY",60,1294,0.0039,-0.0092,-0.0151,303430
2020-01-31,"Omaha, NE","NE",61,1175,0.0149,0.0052,-0.0062,275864
2020-01-31,"New Haven, CT","CT",62,1348,0.002,0.0076,0.0118,377381
2020-01-31,"Bakersfield, CA","CA",63,1243,0.0137,0.0235,0.0675,239077
2020-01-31,"Knoxville, TN","TN",64,1181,-0.0071,0.0156,0.0658,322238
2020-01-31,"Greenville, SC","SC",65,1154,0.0007,0.0178,0.0727,252679
2020-01-31,"Ventura, CA","CA",66,2621,0.0001,0.0045,0.0179,239804
2020-01-31,"Allentown, PA","PA",67,1344,0.0046,0.0153,0.0402,313750
2020-01-31,"El Paso, TX","TX",68,982,0.0239,0.0307,0.0296,248035
2020-01-31,"Baton Rouge, LA","LA",69,1213,0.0058,0.0103,0.003,90629
2020-01-31,"Dayton, OH","OH",70,975,0.0102,0.0043,0.072,294154
2020-01-31,"McAllen, TX","TX",71,837,0.0028,0.0065,-0.0051,203698
2020-01-31,"Columbia, SC","SC",72,1091,0.0123,0.0153,0.0382,258137
2020-01-31,"Greensboro, NC","NC",73,900,-0.0042,0.0162,0.0456,260855
2020-01-31,"Akron, OH","OH",74,999,-0.002,-0.0145,0.0347,260703
2020-01-31,"North Port-Sarasota-Bradenton, FL","FL",75,1817,0.0086,0.0296,0.0137,417822
2020-01-31,"Little Rock, AR","AR",76,849,-0.0011,0.0083,0.0179,247259
2020-01-31,"Stockton, CA","CA",77,1690,0.0101,0.0145,0.063,204367
2020-01-31,"Charleston, SC","SC",78,1602,-0.0025,-0.002,0.0107,274765
2020-01-31,"Syracuse, NY","NY",79,1096,0.0106,-0.0115,-0.0176,232266
2020-01-31,"Colorado Springs, CO","CO",80,1494,0.0083,0.0163,0.0535,276050
2020-01-31,"Winston-Salem, NC","NC",81,1009,0.0031,0.0137,0.0643,224716
2020-01-31,"Wichita, KS","KS",82,852,0.0006,-0.003,0.0132,233757
2020-01-31,"Springfield, MA","MA",83,1304,-0.0047,0.0039,0.0069,197625
2020-01-31,"Fort Myers, FL","FL",84,1544,0.0076,0.0041,-0.0036,392932
2020-01-31,"Boise City, ID","ID",85,1390,0.0036,0.0019,0.0809,269070
2020-01-31,"Toledo, OH","OH",86,922,-0.005,-0.0032,0.019,204184
2020-01-31,"Madison, WI","WI",87,1381,-0.0003,0.0052,0.0051,115573
2020-01-31,"Lakeland, FL","FL",88,1240,-0.0037,0.0106,0.0613,233791
2020-01-31,"Ogden, UT","UT",89,1338,-0.0271,-0.012,0.0228,164892
2020-01-31,"Daytona Beach, FL","FL",90,1460,0.0009,0.0042,0.0366,286814
2020-01-31,"Des Moines, IA","IA",91,1128,-0.0078,-0.0005,0.0016,235227
2020-01-31,"Jackson, MS","MS",92,1029,-0.0207,-0.0055,0.0288,177936
2020-01-31,"Youngstown, OH","OH",93,769,0.0107,0.036,0.0261,171097
2020-01-31,"Augusta, GA","GA",94,1072,0.012,0.035,0.1102,199426
2020-01-31,"Scranton, PA","PA",95,994,0.0033,0.0235,0.0334,14112
2020-01-31,"Harrisburg, PA","PA",96,1172,0.0035,0.0138,0.0262,201582
2020-01-31,"Melbourne, FL","FL",97,1458,0.0006,0.0018,0.0216,269937
2020-01-31,"Chattanooga, TN","TN",98,1213,0.0171,0.0321,0.0752,206737
2020-01-31,"Spokane, WA","WA",99,1250,-0.0009,-0.0007,0.0374,192810
2020-01-31,"Provo, UT","UT",100,1297,-0.0028,-0.0092,0.0127,163866
2020-01-31,"Lancaster, PA","PA",101,1198,0.0045,-0.0015,0.0235,187425
2020-01-31,"Modesto, CA","CA",102,1531,0.0047,0.0016,0.0478,150988
2020-01-31,"Portland, ME","ME",103,1656,-0.008,-0.0126,0.0317,211135
2020-01-31,"Durham, NC","NC",104,1337,0.0082,0.0118,0.0549,199114
2020-01-31,"Santa Rosa, CA","CA",105,2610,0.0001,-0.0097,-0.0263,156024
2020-01-31,"Lexington, KY","KY",106,1069,-0.0005,-0.006,0.0227,152946
2020-01-31,"Lafayette, LA","LA",107,980,0.0185,0.0286,-0.0614,99260
2020-01-31,"Lansing, MI","MI",108,1017,0.0071,0.0233,0.0371,144456
2020-01-31,"Fayetteville, AR","AR",109,1074,0.0099,0.0148,0.0515,166056
2020-01-31,"Pensacola, FL","FL",110,1292,0.0093,0.0118,0.0648,190290
2020-01-31,"Visalia, CA","CA",111,1219,0.0096,0.0394,0.0648,106126
2020-01-31,"Shreveport, LA","LA",112,928,0.0037,0.006,-0.0203,51242
2020-01-31,"Springfield, MO","MO",113,866,0.0058,0.0575,0.1032,171706
2020-01-31,"York, PA","PA",114,1202,0.0175,0.0141,0.044,154770
2020-01-31,"Corpus Christi, TX","TX",115,1295,-0.0088,-0.0262,-0.0183,151888
2020-01-31,"Reno, NV","NV",116,1674,0.0004,0.0069,0.0411,163058
2020-01-31,"Asheville, NC","NC",117,1455,0.0137,0.027,0.0584,175835
2020-01-31,"Port St. Lucie, FL","FL",118,1628,-0.003,0.0055,0.0236,215438
2020-01-31,"Santa Maria-Santa Barbara, CA","CA",119,2962,0.0121,0.0129,0.0589,105580
2020-01-31,"Huntsville, AL","AL",120,1081,0.0049,0.0282,0.0888,168389
2020-01-31,"Fort Wayne, IN","IN",121,1001,-0.0076,0.0216,0.0416,151911
2020-01-31,"Salinas, CA","CA",122,2614,-0.0009,0.0003,0.0564,107402
2020-01-31,"Vallejo, CA","CA",123,2148,-0.0012,-0.006,0.0434,134677
2020-01-31,"Mobile, AL","AL",124,896,0.0004,0.0022,0.0151,145839
2020-01-31,"Reading, PA","PA",125,1216,0.0067,0.0188,0.0302,137103
2020-01-31,"Brownsville, TX","TX",126,985,-0.0073,0.0119,0.0341,121043
2020-01-31,"Killeen, TX","TX",127,913,0.0026,-0.0062,0.0545,132532
2020-01-31,"Canton, OH","OH",128,853,0.0052,0.0239,0.0596,153126
2020-01-31,"Beaumont, TX","TX",129,1065,-0.0052,0.0003,0.0264,130049
2020-01-31,"Manchester, NH","NH",130,1566,0.0006,0.0124,0.0408,148859
2020-01-31,"Salem, OR","OR",131,1443,-0.0035,0.0016,0.0386,105120
2020-01-31,"Anchorage, AK","AK",132,1547,0.0003,0.0035,0.0165,145808
2020-01-31,"Davenport, IL","IL",133,876,-0.0064,-0.0173,-0.0261,114927
2020-01-31,"Peoria, IL","IL",134,839,-0.0032,-0.0123,-0.0041,126840
2020-01-31,"Myrtle Beach, SC","SC",135,1263,-0.0248,-0.0208,0.0124,292131
2020-01-31,"Montgomery, AL","AL",136,871,0.0034,0.0157,0.0258,133445
2020-01-31,"Salisbury, MD","DE",137,1396,0.0108,-0.003,0.0291,193826
2020-01-31,"Gulfport, MS","MS",138,1068,0.0039,0.0065,0.0321,134777
2020-01-31,"Tallahassee, FL","FL",139,1083,0.0002,-0.0087,0.0239,119127
2020-01-31,"Trenton, NJ","NJ",140,1652,-0.0031,-0.0048,-0.0009,117892
2020-01-31,"Fayetteville, NC","NC",141,880,0.0047,0.0121,0.0189,133258
2020-01-31,"Huntington, WV","WV",142,895,0.0138,0.0205,0.0225,118852
2020-01-31,"Eugene, OR","OR",143,1414,0.0006,0.0015,0.0504,115003
2020-01-31,"Rockford, IL","IL",144,956,-0.0052,-0.0116,0.0246,113470
2020-01-31,"Savannah, GA","GA",145,1287,-0.0068,-0.0122,0.0333,141586
2020-01-31,"Ann Arbor, MI","MI",146,1549,-0.0044,-0.0157,-0.0447,110523
2020-01-31,"Ocala, FL","FL",147,1124,-0.0065,-0.0047,0.0275,145020
2020-01-31,"Kalamazoo, MI","MI",148,1077,-0.0117,-0.0666,-0.0906,78953
2020-01-31,"South Bend, IN","IN",149,949,-0.0021,-0.0129,-0.029,102815
2020-01-31,"Spartanburg, SC","SC",150,1041,0.0181,0.0212,0.0593,105475
2020-01-31,"Evansville, IN","IN",151,871,-0.0116,-0.0297,-0.0031,113722
2020-01-31,"Kingsport, TN","TN",152,890,-0.0117,-0.0526,-0.0137,112250
2020-01-31,"Roanoke, VA","VA",153,1029,-0.0036,0.0178,-0.0229,120234
2020-01-31,"Lincoln, NE","NE",154,1049,-0.0011,0.003,0.0143,104628
2020-01-31,"Fort Collins, CO","CO",155,1677,0.0048,0.0136,0.0374,134439
2020-01-31,"Columbus, GA","GA",156,879,0.0033,0.0187,0.0409,96788
2020-01-31,"Boulder, CO","CO",157,1987,-0.0019,0.0156,0.021,125514
2020-01-31,"Lubbock, TX","TX",158,988,0.0039,-0.0062,-0.0072,98337
2020-01-31,"Erie, PA","PA",159,898,0.0062,0.0326,0.0377,83769
2020-01-31,"Fort Smith, AR","AR",160,744,-0.0051,0.0214,-0.023,63338
2020-01-31,"Duluth, MN","MN",161,1020,0.0117,0.031,0.0093,75771
2020-01-31,"Atlantic City, NJ","NJ",162,1349,0.0066,-0.0116,-0.0028,117664
2020-01-31,"New London, CT","CT",163,1300,-0.0012,0.0098,0.0147,108692
2020-01-31,"San Luis Obispo, CA","CA",164,2400,-0.0013,-0.0015,0.0027,85850
2020-01-31,"Gainesville, FL","FL",165,1211,0.0052,0.0346,0.0901,86097
2020-01-31,"Santa Cruz, CA","CA",166,3116,0.0023,0.0103,0.0141,76705
2020-01-31,"Clarksville, TN","TN",167,931,0.0071,0.0169,0.0335,93426
2020-01-31,"Cedar Rapids, IA","IA",168,920,0.0002,-0.0057,0.0061,106344
2020-01-31,"Merced, CA","CA",169,1336,-0.0015,-0.0127,0.0345,68867
2020-01-31,"Wilmington, NC","NC",170,1430,-0.0011,-0.0071,0.0335,119680
2020-01-31,"Kennewick, WA","WA",171,1374,-0.0071,0.0038,0.0754,84652
2020-01-31,"Greeley, CO","CO",172,1637,0.0021,-0.0052,0.0452,111001
2020-01-31,"Olympia, WA","WA",173,1606,-0.0058,0.0009,0.0257,93209
2020-01-31,"Amarillo, TX","TX",174,846,0.0111,0.0193,-0.0119,88366
2020-01-31,"Binghamton, NY","NY",175,950,0.0063,0.0253,-0.0099,82956
2020-01-31,"Hagerstown, WV","MD",176,1153,0.0097,0.0481,0.0505,96260
2020-01-31,"Bremerton, WA","WA",177,1678,-0.0094,-0.0366,0.0358,93472
2020-01-31,"Laredo, TX","TX",178,1056,0.0048,-0.0024,-0.021,50816
2020-01-31,"Lynchburg, VA","VA",179,936,0.0004,-0.0081,-0.0556,99470
2020-01-31,"Yakima, WA","WA",180,1167,-0.012,-0.0169,0.0064,68957
2020-01-31,"Crestview-Fort Walton Beach-Destin, FL","FL",181,1610,-0.0031,-0.0147,0.0848,139832
2020-01-31,"Topeka, KS","KS",182,838,0.0057,0.0001,-0.0122,86825
2020-01-31,"Macon-Bibb County, GA","GA",183,870,-0.0076,-0.0066,0.0381,81882
2020-01-31,"Champaign-Urbana, IL","IL",184,1018,0.0055,0.0248,0.0104,43412
2020-01-31,"Tuscaloosa, AL","AL",185,1153,0.0137,0.0043,-0.0001,65584
2020-01-31,"College Station, TX","TX",186,1177,0.018,0.0295,0.0126,71210
2020-01-31,"Sioux Falls, SD","SD",187,980,-0.0006,-0.0027,0.0214,70575
2020-01-31,"Charleston, WV","WV",188,830,0.0136,0.0539,-0.0128,79405
2020-01-31,"Appleton, WI","WI",189,1053,-0.0132,-0.0504,0.0083,28198
2020-01-31,"Chico, CA","CA",190,1585,-0.0095,-0.0097,0.1489,56284
2020-01-31,"Charlottesville, VA","VA",191,1524,0.015,0.0226,0.0328,87563
2020-01-31,"Claremont, NH","NH",192,1473,-0.0194,-0.0442,0.0349,79321
2020-01-31,"Barnstable Town, MA","MA",193,1949,0.0233,-0.0117,0.0293,177175
2020-01-31,"Longview, TX","TX",194,1088,0.0185,0.0146,0.0324,59901
2020-01-31,"Burlington, VT","VT",195,1843,-0.0196,-0.015,0.0174,44863
2020-01-31,"Prescott, AZ","AZ",196,1506,0.0065,0.0223,0.065,93857
2020-01-31,"Springfield, IL","IL",197,837,0.001,0.0163,0.0354,3014
2020-01-31,"Tyler, TX","TX",198,1099,0.0037,0.0307,0.0408,67617
2020-01-31,"Las Cruces, NM","NM",199,996,0.006,0.022,0.0514,60237
2020-01-31,"Fargo, ND","ND",200,950,-0.0062,0.0072,-0.0066,42964
2020-01-31,"Houma, LA","LA",201,975,-0.0047,-0.0044,0.0044,17514
2020-01-31,"Rochester, MN","MN",202,1278,0.0153,0.0473,0.0459,83216
2020-01-31,"Florence, SC","SC",203,1042,-0.0051,0.0035,-0.0092,55746
