Location,Confirmed,Cases per 1M people,Recovered,Deaths,CFR-Case-Fatality-Rate
Worldwide,"803,313",114,"162,937","39,014",0.048566375
United States,"174,410",533.22,"5,995","3,392",0.019448426
Italy,"105,792","1,674.85","15,729","12,428",0.117475802
Spain,"94,417","1,905.48","19,259","8,269",0.087579567
China,"81,518",59.36,"76,052","3,305",0.040543193
Germany,"67,987",827.73,"7,635",707,0.010399047
Iran,"44,606",550.74,"14,656","2,898",0.064968838
France,"44,023",651.55,"7,882","3,018",0.068555073
United Kingdom,"25,150",387.56,135,"1,808",0.071888668
Switzerland,"16,186","2,385.56","2,105",395,0.024403806
Belgium,"12,775","1,239.42","1,696",705,0.05518591
Netherlands,"12,595",773.46,0,"1,039",0.082493053
Turkey,"10,827",129.35,162,168,0.015516764
Austria,"10,088","1,287.39","1,095",128,0.012688343
South Korea,"9,786",191.73,"5,408",162,0.016554261
Portugal,"7,443",697.12,43,160,0.021496708
Canada,"7,435",215.18,"1,079",89,0.01197041
Israel,"4,831",423.65,163,17,0.00351894
Brazil,"4,661",22.61,127,165,0.035400129
Norway,"4,599",863.03,0,36,0.007827789
Australia,"4,561",199.27,337,19,0.004165753
Sweden,"4,435",441.21,16,180,0.040586246
Czechia,"3,002",281.88,25,24,0.00799467
Ireland,"2,910",557.13,5,54,0.018556701
Denmark,"2,815",507.3,0,90,0.031971581
Malaysia,"2,766",83.24,537,43,0.015545915
Chile,"2,449",140.11,156,8,0.003266639
Russia,"2,337",16.32,121,17,0.007274283
Romania,"2,245",104.59,220,78,0.034743875
Poland,"2,215",59.58,35,32,0.014446953
Philippines,"2,084",19.99,49,88,0.042226488
Luxembourg,"1,988","2,483.18",40,22,0.011066398
Ecuador,"1,966",118.75,3,62,0.031536114
Japan,"1,953",15.4,408,56,0.028673835
Pakistan,"1,914",9.52,58,26,0.013584117
Thailand,"1,651",24.65,342,10,0.006056935
Saudi Arabia,"1,563",55.28,165,10,0.006397953
Indonesia,"1,528",5.86,81,136,0.089005236
India,"1,397",1.1,124,35,0.025053686
Finland,"1,379",254.12,10,17,0.012327774
South Africa,"1,353",24.39,31,5,0.003695492
Greece,"1,314",121.91,52,49,0.037290715
Iceland,"1,135","3,358.10",198,2,0.001762115
Mexico,"1,094",8.68,35,28,0.02559415
Panama,"1,075",291.71,9,26,0.024186047
Dominican Republic,"1,019",96.16,5,51,0.050049068
Argentina,966,21.26,51,24,0.02484472
Peru,950,30.3,53,24,0.025263158
Singapore,926,197.95,240,3,0.003239741
Serbia,900,111.6,42,23,0.025555556
Croatia,867,185.01,67,6,0.006920415
Slovenia,802,457.4,10,15,0.018703242
Colombia,798,16.88,15,14,0.01754386
Estonia,745,582.31,26,4,0.005369128
Algeria,716,17.28,37,44,0.061452514
Hong Kong,714,69.46,128,4,0.005602241
Qatar,693,299.93,51,1,0.001443001
United Arab Emirates,664,126.5,61,6,0.009036145
Egypt,656,6.55,150,41,0.0625
Iraq,630,15.42,152,46,0.073015873
New Zealand,600,133.86,74,1,0.001666667
Morocco,574,17.08,15,33,0.057491289
Bahrain,567,405.29,295,4,0.007054674
Ukraine,549,12.8,8,13,0.023679417
Lithuania,533,178.68,7,7,0.013133208
Armenia,532,211.62,30,3,0.005639098
Hungary,492,49.16,37,16,0.032520325
Lebanon,463,74.57,37,12,0.025917927
Bosnia and Herzegovina,409,124.86,17,12,0.029339853
Bulgaria,399,59.82,17,8,0.020050125
Latvia,398,212.04,1,0,0
Andorra,370,"4,857.11",10,8,0.021621622
Slovakia,363,60.5,7,0,0
Tunisia,362,32.16,1,10,0.027624309
Kazakhstan,336,17.27,22,2,0.005952381
Costa Rica,330,65.47,4,2,0.006060606
North Macedonia,329,158.39,12,9,0.027355623
Taiwan,322,13.5,39,5,0.01552795
Uruguay,320,98.46,0,1,0.003125
Azerbaijan,298,28.37,26,5,0.016778523
Moldova,298,75.9,15,2,0.006711409
Kuwait,289,102.18,73,0,0
Jordan,268,30.53,26,5,0.018656716
Burkina Faso,246,12.7,31,12,0.048780488
Albania,243,80.94,52,13,0.053497942
San Marino,236,"7,077.74",13,26,0.110169492
Cyprus,225,182.11,18,6,0.026666667
Réunion,224,261.43,0,0,0
Vietnam,207,2.11,58,0,0
Cameroon,193,7.92,5,6,0.031088083
Oman,192,45.62,34,0,0
Cuba,186,16.7,8,6,0.032258065
Senegal,175,11.75,40,0,0
Afghanistan,174,5.18,2,4,0.022988506
Faroe Islands,169,"3,335.31",74,0,0
Malta,169,399.62,2,0,0
Côte d'Ivoire,168,7.08,6,1,0.005952381
Uzbekistan,167,6.17,7,2,0.011976048
Belarus,152,15.76,47,1,0.006578947
Ghana,152,5.3,2,5,0.032894737
Mauritius,143,105.09,0,4,0.027972028
Sri Lanka,142,6.33,17,2,0.014084507
Honduras,141,15.36,3,7,0.04964539
Nigeria,135,0.69,8,2,0.014814815
Venezuela,135,4.28,39,3,0.022222222
Brunei,129,374.41,45,1,0.007751938
Martinique,119,306.61,27,2,0.016806723
Palestine,117,23.16,18,1,0.008547009
Guadeloupe,114,280.26,22,5,0.043859649
Georgia,110,23.22,21,0,0
Cambodia,109,6.95,23,0,0
Bolivia,107,9.65,0,6,0.056074766
Kyrgyzstan,107,14.72,3,0,0
Kosovo,106,61.42,1,1,0.009433962
Montenegro,105,175.33,0,1,0.00952381
Democratic Republic of the Congo,98,1.12,2,8,0.081632653
Mayotte,94,410.86,0,1,0.010638298
Trinidad and Tobago,85,69.84,1,3,0.035294118
Jersey,81,790.9,0,2,0.024691358
Guernsey,78,"1,229.53",0,1,0.012820513
Rwanda,70,6.14,0,0,0
Gibraltar,69,"3,290.89",14,0,0
Paraguay,65,9.36,1,3,0.046153846
Liechtenstein,64,619.54,0,0,0
Northern Cyprus,61,187.12,29,1,0.016393443
Isle of Man,60,682.31,0,0,0
Kenya,59,1.21,1,1,0.016949153
Bangladesh,51,0.31,19,5,0.098039216
Aruba,50,464.48,0,0,0
Monaco,49,"1,279.37",1,0,0
Madagascar,46,1.84,0,0,0
French Guiana,43,150.79,0,0,0
Macao,41,73.78,10,0,0
Guatemala,36,2.45,10,1,0.027777778
Jamaica,36,12.01,2,1,0.027777778
French Polynesia,35,122.72,0,0,0
Zambia,35,2.3,0,0,0
Barbados,34,116.84,0,0,0
Togo,34,4.17,10,1,0.029411765
Uganda,33,0.91,0,0,0
El Salvador,32,4.98,0,0,0
Djibouti,30,38.91,0,0,0
Mali,28,1.48,0,2,0.071428571
Bermuda,27,376.61,10,0,0
Niger,27,1.56,0,3,0.111111111
Ethiopia,25,0.24,2,0,0
Guinea,22,1.79,0,0,0
Republic of the Congo,19,5.56,0,0,0
Tanzania,19,0.34,1,1,0.052631579
Maldives,18,46.53,13,0,0
Saint Martin,18,250.23,2,1,0.055555556
Gabon,16,8.24,0,1,0.0625
New Caledonia,16,57.31,0,0,0
Eritrea,15,2.33,0,0,0
Haiti,15,1.39,0,0,0
Myanmar (Burma),14,—,0,1,0.071428571
The Bahamas,14,42.39,0,0,0
Cayman Islands,12,205.34,0,1,0.083333333
Dominica,12,170.02,0,0,0
Equatorial Guinea,12,17.56,0,0,0
Mongolia,12,4.06,0,0,0
Curaçao,11,73.51,2,1,0.090909091
Namibia,11,5.23,2,0,0
Greenland,10,176.11,2,0,0
Seychelles,10,103.6,0,0,0
Syria,10,0.61,0,2,0.2
Eswatini,9,7.92,0,0,0
Grenada,9,81.57,0,0,0
Laos,9,1,0,0,0
Saint Lucia,9,54.02,0,0,0
Guinea-Bissau,8,4.66,0,0,0
Guyana,8,11.08,0,1,0.125
Libya,8,1.19,0,0,0
Mozambique,8,0.31,0,0,0
Saint Kitts and Nevis,8,150.65,0,0,0
Suriname,8,13.92,0,0,0
Zimbabwe,8,0.57,0,1,0.125
Angola,7,0.24,0,2,0.285714286
